NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTURA,NRO,NroOACI
BASE BELGRANO II,ANTARTIDA,-77      52,-34      34,256.0,89034.0,SAYB
BASE CARLINI (EX JUBANY),ANTARTIDA,-62      14,-58      38,11.0,89053.0,SAYJ
BASE ESPERANZA,ANTARTIDA,-63      24,-56      59,24.0,88963.0,SAYE
BASE MARAMBIO,ANTARTIDA,-64      14,-56      43,198.0,89055.0,SAWB
BASE ORCADAS,ANTARTIDA,-60      45,-44      43,12.0,88968.0,SAYO
BASE SAN MARTIN,ANTARTIDA,-68       8,-67       8,7.0,89066.0,SAYS
AZUL AERO,BUENOS AIRES,-36      50,-59      53,147.0,87641.0,SAZA
BAHIA BLANCA AERO,BUENOS AIRES,-38      44,-62      10,83.0,87750.0,SAZB
BENITO JUAREZ AERO,BUENOS AIRES,-37      43,-59      47,207.0,87649.0,SAZJ
BOLIVAR AERO,BUENOS AIRES,-36      12,-61       4,94.0,87640.0,SAZI
CAMPO DE MAYO AERO,BUENOS AIRES,-34      32,-58      40,26.0,87570.0,SADO
CORONEL PRINGLES AERO,BUENOS AIRES,-38       1,-61      20,247.0,87683.0,SABP
CORONEL SUAREZ AERO,BUENOS AIRES,-37      26,-61      53,233.0,87637.0,SAZC
DOLORES AERO,BUENOS AIRES,-36      21,-57      44,9.0,87648.0,SAZD
EL PALOMAR AERO,BUENOS AIRES,-34      36,-58      36,12.0,87571.0,SADP
EZEIZA AERO,BUENOS AIRES,-34      49,-58      32,20.0,87576.0,SAEZ
JUNIN AERO,BUENOS AIRES,-34      33,-60      55,81.0,87548.0,SAAJ
LA PLATA AERO,BUENOS AIRES,-34      58,-57      54,23.0,87593.0,SADL
LAS FLORES,BUENOS AIRES,-36       2,-59       8,36.0,87563.0,SAEL
MAR DEL PLATA AERO,BUENOS AIRES,-37      56,-57      35,21.0,87692.0,SAZM
MARIANO MORENO AERO,BUENOS AIRES,-34      33,-58      49,32.0,87572.0,SADJ
MERLO AERO,BUENOS AIRES,-34      41,-58      44,36.0,87573.0,SADR
MORON AERO,BUENOS AIRES,-34      40,-58      38,24.0,87574.0,SADM
NUEVE DE JULIO,BUENOS AIRES,-35      27,-60      53,76.0,87550.0,SAZX
OLAVARRIA AERO,BUENOS AIRES,-36      53,-60      13,166.0,87643.0,SAZF
PEHUAJO AERO,BUENOS AIRES,-35      52,-61      54,87.0,87544.0,SAZP
PIGUE AERO,BUENOS AIRES,-37      36,-62      23,304.0,87679.0,SAZE
PUNTA INDIO B.A.,BUENOS AIRES,-35      22,-57      17,22.0,87596.0,SAAI
SAN FERNANDO AERO,BUENOS AIRES,-34      27,-58      35,3.0,87553.0,SADF
SANTA TERESITA AERO,BUENOS AIRES,-36      33,-56      41,4.0,87658.0,SAZL
TANDIL AERO,BUENOS AIRES,-37      14,-59      15,175.0,87645.0,SAZT
TRENQUE LAUQUEN,BUENOS AIRES,-35      58,-62      44,95.0,87540.0,SAET
TRES ARROYOS,BUENOS AIRES,-38      20,-60      15,115.0,87688.0,SAZH
VILLA GESELL AERO,BUENOS AIRES,-37      14,-57       1,9.0,87663.0,SAZV
AEROPARQUE AERO,CAPITAL FEDERAL,-34      34,-58      25,6.0,87582.0,SABE
BUENOS AIRES OBSERVATORIO,CAPITAL FEDERAL,-34      35,-58      29,25.0,87585.0,SABA
CATAMARCA AERO,CATAMARCA,-28      36,-65      46,464.0,87222.0,SANC
TINOGASTA,CATAMARCA,-28       4,-67      34,1201.0,87211.0,SANI
PRESIDENCIA ROQUE SAENZ PEÑA A,CHACO,-26      45,-60      24,93.0,87148.0,SARS
ERO,,,,,,
,,,,,,
RESISTENCIA AERO,CHACO,-27      27,-59       3,52.0,87155.0,SARE
COMODORO RIVADAVIA AERO,CHUBUT,-45      47,-67      30,46.0,87860.0,SAVC
ESQUEL AERO,CHUBUT,-42      56,-71       9,797.0,87803.0,SAVE
PASO DE INDIOS,CHUBUT,-43      49,-68      53,460.0,87814.0,SAVP
PUERTO MADRYN AERO,CHUBUT,-42      44,-65       4,136.0,87823.0,SAVY
TRELEW AERO,CHUBUT,-43      12,-65      16,43.0,87828.0,SAVT
CORDOBA AERO,CORDOBA,-31      18,-64      12,495.0,87344.0,SACO
CORDOBA OBSERVATORIO,CORDOBA,-31      24,-64      11,425.0,87345.0,SACK
ESCUELA DE AVIACION MILITAR AE,CORDOBA,-31      27,-64      16,502.0,87347.0,SACE
RO,,,,,,
,,,,,,
LABOULAYE AERO,CORDOBA,-34       8,-63      22,137.0,87534.0,SAOL
MARCOS JUAREZ AERO,CORDOBA,-32      42,-62       9,114.0,87467.0,SAOM
PILAR OBSERVATORIO,CORDOBA,-31      40,-63      53,338.0,87349.0,SACI
RIO CUARTO AERO,CORDOBA,-33       7,-64      14,421.0,87453.0,SAOC
VILLA DE MARIA DEL RIO SECO,CORDOBA,-29      54,-63      41,341.0,87244.0,SACV
VILLA DOLORES AERO,CORDOBA,-31      57,-65       8,566.0,87328.0,SAOD
CORRIENTES AERO,CORRIENTES,-27      27,-58      46,62.0,87166.0,SARC
ITUZAINGO,CORRIENTES,-27      35,-56      40,72.0,87173.0,SARO
MERCEDES AERO (CTES),CORRIENTES,-29      13,-58       6,107.0,87281.0,SATM
MONTE CASEROS AERO,CORRIENTES,-30      16,-57      39,54.0,87393.0,SARM
PASO DE LOS LIBRES AERO,CORRIENTES,-29      41,-57       9,70.0,87289.0,SARL
CONCORDIA AERO,ENTRE RIOS,-31      18,-58       1,38.0,87395.0,SAAC
GUALEGUAYCHU AERO,ENTRE RIOS,-33       0,-58      37,23.0,87497.0,SAAG
PARANA AERO,ENTRE RIOS,-31      47,-60      29,78.0,87374.0,SAAP
FORMOSA AERO,FORMOSA,-26      12,-58      14,60.0,87162.0,SARF
LAS LOMITAS,FORMOSA,-24      42,-60      35,130.0,87078.0,SATK
JUJUY AERO,JUJUY,-24      23,-65       5,905.0,87046.0,SASJ
JUJUY U N,JUJUY,-24      10,-65      11,1302.0,87043.0,
LA QUIACA OBSERVATORIO,JUJUY,-22       6,-65      36,3459.0,87007.0,SASQ
GENERAL PICO AERO,LA PAMPA,-35      42,-63      45,145.0,87532.0,SAZG
SANTA ROSA AERO,LA PAMPA,-36      34,-64      16,191.0,87623.0,SAZR
VICTORICA,LA PAMPA,-36      13,-65      26,312.0,87616.0,SAHV
CHAMICAL AERO,LA RIOJA,-30      22,-66      17,461.0,87320.0,SACT
CHEPES,LA RIOJA,-31      20,-66      36,658.0,87322.0,SACP
