FECHA,TMAX,TMIN,NOMBRE
16112019,25.2,18.2,AEROPARQUE AERO
16112019,31.5,16.5,AZUL AERO
16112019,29.3,13.8,BAHIA BLANCA AERO
16112019,15.4,6.8,BARILOCHE AERO
16112019,-3.0,-10.0,BASE BELGRANO II
16112019,3.7,0.1,BASE CARLINI (EX JUBANY)
16112019,8.6,1.0,BASE ESPERANZA
16112019,1.5,-2.8,BASE MARAMBIO
16112019,1.1,-1.0,BASE ORCADAS
16112019,-4.0,-10.6,BASE SAN MARTIN
16112019,29.5,15.6,BENITO JUAREZ AERO
16112019,27.6,14.0,BERNARDO DE IRIGOYEN AERO
16112019,33.6,15.9,BOLIVAR AERO
16112019,25.6,19.4,BUENOS AIRES OBSERVATORIO
16112019,24.4,17.4,CAMPO DE MAYO AERO
16112019,37.4,24.8,CATAMARCA AERO
16112019,34.6,17.0,CERES AERO
16112019,35.0,21.8,CHAMICAL AERO
16112019,17.8,7.9,CHAPELCO AERO
16112019,37.0,19.0,CHEPES
16112019,37.3,21.0,CHILECITO AERO
16112019,33.0,12.9,CIPOLLETTI
16112019,26.6,11.2,COMODORO RIVADAVIA AERO
16112019,30.4,16.5,CONCORDIA AERO
16112019,30.8,18.3,CORDOBA AERO
16112019,32.2,21.8,CORDOBA OBSERVATORIO
16112019,30.6,13.4,CORONEL PRINGLES AERO
16112019,31.2,14.6,CORONEL SUAREZ AERO
16112019,29.8,17.2,CORRIENTES AERO
16112019,28.0,17.1,DOLORES AERO
16112019,20.5,5.5,EL BOLSON AERO
16112019,15.9,6.0,EL CALAFATE AERO
16112019,25.0,17.0,EL PALOMAR AERO
16112019,26.0,17.8,EL TREBOL
16112019,30.8,17.8,ESCUELA DE AVIACION MILITAR AERO
16112019,16.8,7.5,ESQUEL AERO
16112019,25.7,17.0,EZEIZA AERO
16112019,31.0,16.6,FORMOSA AERO
16112019,32.6,18.0,GENERAL PICO AERO
16112019,22.0,9.0,GOBERNADOR GREGORES AERO
16112019,27.4,15.4,GUALEGUAYCHU AERO
16112019,30.6,14.0,IGUAZU AERO
16112019,30.0,15.1,ITUZAINGO
16112019,33.0,16.9,JACHAL
16112019,33.6,17.8,JUJUY AERO
16112019,31.0,16.9,JUJUY U N
16112019,26.5,17.0,JUNIN AERO
16112019,25.6,17.1,LA PLATA AERO
16112019,22.7,4.4,LA QUIACA OBSERVATORIO
16112019,38.7,24.1,LA RIOJA AERO
16112019,30.8,19.0,LABOULAYE AERO
16112019,28.5,18.6,LAS FLORES
16112019,34.4,19.0,LAS LOMITAS
16112019,30.1,16.0,MALARGUE AERO
16112019,21.5,5.4,MAQUINCHAO
16112019,26.3,14.8,MAR DEL PLATA AERO
16112019,26.6,18.3,MARCOS JUAREZ AERO
16112019,25.0,14.5,MARIANO MORENO AERO
16112019,32.1,23.7,MENDOZA AERO
16112019,,22.6,MENDOZA OBSERVATORIO
16112019,29.5,16.0,MERCEDES AERO (CTES)
16112019,25.5,16.2,MERLO AERO
16112019,36.7,15.6,METAN
16112019,30.2,16.3,MONTE CASEROS AERO
16112019,25.2,16.8,MORON AERO
16112019,32.7,12.0,NEUQUEN AERO
16112019,30.0,17.7,NUEVE DE JULIO
16112019,30.0,15.5,OBERA
16112019,31.5,15.4,OLAVARRIA AERO
16112019,38.5,18.3,ORAN AERO
16112019,28.2,18.0,PARANA AERO
16112019,23.2,8.6,PASO DE INDIOS
16112019,29.3,16.1,PASO DE LOS LIBRES AERO
16112019,33.5,19.1,PEHUAJO AERO
16112019,16.8,7.8,PERITO MORENO AERO
16112019,30.0,16.3,PIGUE AERO
16112019,30.5,20.8,PILAR OBSERVATORIO
16112019,29.5,16.1,POSADAS AERO
16112019,32.3,15.9,PRESIDENCIA ROQUE SAENZ PEÑA AERO
16112019,21.0,8.3,PUERTO DESEADO AERO
16112019,26.0,7.8,PUERTO MADRYN AERO
16112019,27.2,18.5,PUNTA INDIO B.A.
16112019,,19.1,RAFAELA AERO
16112019,31.5,18.3,RECONQUISTA AERO
16112019,31.5,14.4,RESISTENCIA AERO
16112019,30.6,16.0,RIO COLORADO
16112019,28.0,17.9,RIO CUARTO AERO
16112019,20.0,6.2,RIO GALLEGOS AERO
16112019,12.0,3.8,RIO GRANDE B.A.
16112019,40.0,28.2,RIVADAVIA
16112019,25.5,17.2,ROSARIO AERO
16112019,30.0,15.6,SALTA AERO
16112019,29.0,15.1,SAN ANTONIO OESTE AERO
16112019,34.5,14.0,SAN CARLOS (MZA)
16112019,25.0,18.4,SAN FERNANDO AERO
16112019,35.0,20.5,SAN JUAN AERO
16112019,26.5,7.9,SAN JULIAN AERO
16112019,32.3,17.5,SAN LUIS AERO
16112019,32.8,21.6,SAN MARTIN (MZA)
16112019,35.7,18.4,SAN RAFAEL AERO
16112019,23.0,7.4,SANTA CRUZ AERO
16112019,32.8,21.6,SANTA ROSA AERO
16112019,31.3,19.5,SANTA ROSA DE CONLARA AERO
16112019,38.3,22.0,SANTIAGO DEL ESTERO AERO
16112019,27.7,19.2,SAUCE VIEJO AERO
16112019,32.0,15.6,SUNCHALES AERO
16112019,30.9,14.6,TANDIL AERO
16112019,38.6,17.0,TARTAGAL AERO
16112019,36.0,23.0,TERMAS DE RIO HONDO AERO
16112019,39.0,18.0,TINOGASTA
16112019,25.5,10.9,TRELEW AERO
16112019,33.6,20.0,TRENQUE LAUQUEN
16112019,,16.1,TRES ARROYOS
16112019,35.6,19.3,TUCUMAN AERO
16112019,14.5,5.5,USHUAIA AERO
16112019,30.5,9.2,USPALLATA
16112019,26.2,18.0,VENADO TUERTO AERO
16112019,32.4,17.9,VICTORICA
16112019,29.1,8.8,VIEDMA AERO
16112019,36.8,22.7,VILLA DE MARIA DEL RIO SECO
16112019,34.6,23.8,VILLA DOLORES AERO
16112019,29.2,16.6,VILLA GESELL AERO
16112019,29.0,18.8,VILLA REYNOLDS AERO
15112019,26.0,19.8,AEROPARQUE AERO
15112019,30.9,9.1,AZUL AERO
15112019,35.4,10.9,BAHIA BLANCA AERO
15112019,15.8,10.6,BARILOCHE AERO
15112019,-5.0,-10.0,BASE BELGRANO II
15112019,,0.1,BASE CARLINI (EX JUBANY)
15112019,4.2,-1.4,BASE ESPERANZA
15112019,1.5,-2.7,BASE MARAMBIO
15112019,1.5,-2.1,BASE ORCADAS
15112019,-1.5,-7.6,BASE SAN MARTIN
15112019,30.0,10.0,BENITO JUAREZ AERO
15112019,26.5,16.5,BERNARDO DE IRIGOYEN AERO
15112019,33.1,11.9,BOLIVAR AERO
15112019,29.4,19.9,BUENOS AIRES OBSERVATORIO
15112019,30.3,13.5,CAMPO DE MAYO AERO
15112019,37.0,25.6,CATAMARCA AERO
15112019,33.2,17.0,CERES AERO
15112019,36.3,20.9,CHAMICAL AERO
15112019,17.9,12.5,CHAPELCO AERO
15112019,36.0,21.0,CHEPES
15112019,36.7,18.8,CHILECITO AERO
15112019,32.2,16.7,CIPOLLETTI
15112019,27.6,18.0,COMODORO RIVADAVIA AERO
15112019,29.6,14.7,CONCORDIA AERO
15112019,33.4,16.9,CORDOBA AERO
15112019,34.5,18.5,CORDOBA OBSERVATORIO
15112019,33.6,9.0,CORONEL PRINGLES AERO
15112019,34.0,12.4,CORONEL SUAREZ AERO
15112019,29.8,20.3,CORRIENTES AERO
15112019,29.2,8.7,DOLORES AERO
15112019,20.0,12.3,EL BOLSON AERO
15112019,14.9,7.0,EL CALAFATE AERO
15112019,29.5,14.6,EL PALOMAR AERO
15112019,32.2,16.9,EL TREBOL
15112019,33.3,15.3,ESCUELA DE AVIACION MILITAR AERO
15112019,16.2,10.0,ESQUEL AERO
15112019,30.6,15.2,EZEIZA AERO
15112019,32.5,20.6,FORMOSA AERO
15112019,35.5,18.6,GENERAL PICO AERO
15112019,19.4,11.6,GOBERNADOR GREGORES AERO
15112019,30.4,14.4,GUALEGUAYCHU AERO
15112019,30.4,18.1,IGUAZU AERO
15112019,29.8,20.3,ITUZAINGO
15112019,35.5,15.9,JACHAL
15112019,34.6,16.3,JUJUY AERO
15112019,32.7,14.4,JUJUY U N
15112019,33.0,13.8,JUNIN AERO
15112019,26.6,13.1,LA PLATA AERO
15112019,21.2,3.0,LA QUIACA OBSERVATORIO
15112019,40.0,21.4,LA RIOJA AERO
15112019,35.7,15.9,LABOULAYE AERO
15112019,30.0,13.6,LAS FLORES
15112019,33.6,20.0,LAS LOMITAS
15112019,30.6,10.8,MALARGUE AERO
15112019,22.5,9.5,MAQUINCHAO
15112019,29.0,6.1,MAR DEL PLATA AERO
15112019,33.6,14.0,MARCOS JUAREZ AERO
15112019,30.0,13.0,MARIANO MORENO AERO
15112019,36.3,20.8,MENDOZA AERO
15112019,,18.6,MENDOZA OBSERVATORIO
15112019,29.8,16.0,MERCEDES AERO (CTES)
15112019,30.3,16.2,MERLO AERO
15112019,,17.0,METAN
15112019,30.0,15.3,MONTE CASEROS AERO
15112019,30.1,18.2,MORON AERO
15112019,32.4,17.2,NEUQUEN AERO
15112019,33.6,14.8,NUEVE DE JULIO
15112019,29.0,19.5,OBERA
15112019,31.5,11.5,OLAVARRIA AERO
15112019,37.0,20.0,ORAN AERO
15112019,30.8,17.2,PARANA AERO
15112019,23.0,13.2,PASO DE INDIOS
15112019,28.5,17.3,PASO DE LOS LIBRES AERO
15112019,34.0,13.2,PEHUAJO AERO
15112019,17.5,10.6,PERITO MORENO AERO
15112019,33.5,16.1,PIGUE AERO
15112019,32.1,16.6,PILAR OBSERVATORIO
15112019,30.5,21.5,POSADAS AERO
