estacion_nombre,estacion_latitud,estacion_longitud,estacion_altura,estacion_id,estacion_oaci_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre
BASE BELGRANO II,-77      52,-34      34,256,89034,SAYB,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",94028,Antártida Argentina
BASE CARLINI (EX JUBANY),-62      14,-58      38,11,89053,SAYJ,,,,
BASE ESPERANZA,-63      24,-56      59,24,88963,SAYE,,,,
BASE MARAMBIO,-64      14,-56      43,198,89055,SAWB,,,,
BASE ORCADAS,-60      45,-44      43,12,88968,SAYO,,,,
BASE SAN MARTIN,-68       8,-67       8,7,89066,SAYS,,,,
AZUL AERO,-36      50,-59      53,147,87641,SAZA,06,Buenos Aires,06049,Azul
BAHIA BLANCA AERO,-38      44,-62      10,83,87750,SAZB,06,Buenos Aires,06056,Bahía Blanca
BENITO JUAREZ AERO,-37      43,-59      47,207,87649,SAZJ,06,Buenos Aires,06791,Tandil
BOLIVAR AERO,-36      12,-61       4,94,87640,SAZI,06,Buenos Aires,06406,Hipólito Yrigoyen
CAMPO DE MAYO AERO,-34      32,-58      40,26,87570,SADO,,,,
CORONEL PRINGLES AERO,-38       1,-61      20,247,87683,SABP,06,Buenos Aires,06196,Coronel Pringles
CORONEL SUAREZ AERO,-37      26,-61      53,233,87637,SAZC,06,Buenos Aires,06322,General La Madrid
DOLORES AERO,-36      21,-57      44,9,87648,SAZD,06,Buenos Aires,06238,Dolores
EL PALOMAR AERO,-34      36,-58      36,12,87571,SADP,,,,
EZEIZA AERO,-34      49,-58      32,20,87576,SAEZ,,,,
JUNIN AERO,-34      33,-60      55,81,87548,SAAJ,06,Buenos Aires,06686,Rojas
LA PLATA AERO,-34      58,-57      54,23,87593,SADL,,,,
LAS FLORES,-36       2,-59       8,36,87563,SAEL,06,Buenos Aires,06798,Tapalqué
MAR DEL PLATA AERO,-37      56,-57      35,21,87692,SAZM,06,Buenos Aires,06518,Mar Chiquita
MARIANO MORENO AERO,-34      33,-58      49,32,87572,SADJ,06,Buenos Aires,06805,Tigre
MERLO AERO,-34      41,-58      44,36,87573,SADR,,,,
MORON AERO,-34      40,-58      38,24,87574,SADM,,,,
NUEVE DE JULIO,-35      27,-60      53,76,87550,SAZX,06,Buenos Aires,06112,Bragado
OLAVARRIA AERO,-36      53,-60      13,166,87643,SAZF,06,Buenos Aires,06798,Tapalqué
PEHUAJO AERO,-35      52,-61      54,87,87544,SAZP,06,Buenos Aires,06147,Carlos Casares
PIGUE AERO,-37      36,-62      23,304,87679,SAZE,06,Buenos Aires,06203,Coronel Suárez
PUNTA INDIO B.A.,-35      22,-57      17,22,87596,SAAI,,,,
SAN FERNANDO AERO,-34      27,-58      35,3,87553,SADF,,,,
SANTA TERESITA AERO,-36      33,-56      41,4,87658,SAZL,,,,
TANDIL AERO,-37      14,-59      15,175,87645,SAZT,06,Buenos Aires,06791,Tandil
