fecha,temperatura_maxima,temperatura_minima,estacion_oaci_id
2019-11-16,25.2,18.2,SABE
2019-11-15,26.0,19.8,SABE
2019-11-14,30.2,20.3,SABE
2019-11-13,27.0,20.4,SABE
2019-11-12,25.0,18.8,SABE
2019-11-11,23.1,17.8,SABE
2019-11-10,22.4,17.5,SABE
2019-11-09,23.4,18.4,SABE
2019-11-08,22.2,15.2,SABE
2019-11-07,31.0,18.2,SABE
2019-11-06,25.5,18.8,SABE
2019-11-05,23.5,14.3,SABE
2019-11-04,22.5,18.5,SABE
2019-11-03,23.0,12.2,SABE
2019-11-02,27.8,20.3,SABE
2019-11-01,22.2,16.8,SABE
2019-10-31,22.1,14.8,SABE
2019-10-30,22.5,15.2,SABE
2019-10-29,20.0,13.8,SABE
2019-10-28,23.0,16.9,SABE
2019-10-27,26.0,19.8,SABE
2019-10-26,28.6,18.1,SABE
2019-10-25,29.5,16.8,SABE
2019-10-24,26.5,12.6,SABE
2019-10-23,22.2,12.7,SABE
2019-10-22,22.5,12.4,SABE
2019-10-21,17.6,13.4,SABE
2019-10-20,16.7,13.8,SABE
2019-10-19,21.0,12.8,SABE
2019-10-18,24.0,13.7,SABE
2019-10-17,19.2,15.6,SABE
2019-10-16,16.5,11.8,SABE
2019-10-15,15.3,9.6,SABE
2019-10-14,13.5,8.8,SABE
2019-10-13,20.0,13.3,SABE
2019-10-12,21.9,16.6,SABE
2019-10-11,22.6,18.3,SABE
2019-10-10,25.6,17.4,SABE
2019-10-09,23.1,15.0,SABE
2019-10-08,26.5,14.3,SABE
2019-10-07,25.4,12.9,SABE
2019-10-06,19.5,11.8,SABE
2019-10-05,19.2,10.8,SABE
2019-10-04,15.0,12.0,SABE
2019-10-03,13.6,7.8,SABE
2019-10-02,17.0,10.3,SABE
2019-10-01,20.2,11.9,SABE
2019-09-30,24.2,18.3,SABE
2019-09-29,23.3,15.3,SABE
2019-09-28,21.0,13.4,SABE
2019-09-27,17.5,13.3,SABE
2019-09-26,23.9,15.2,SABE
2019-09-25,30.7,15.3,SABE
2019-09-24,20.5,11.4,SABE
2019-09-23,17.8,10.9,SABE
2019-09-22,19.0,9.3,SABE
2019-09-21,24.4,10.3,SABE
2019-09-20,21.0,7.3,SABE
2019-09-19,19.1,13.3,SABE
2019-09-18,17.9,13.2,SABE
2019-09-17,23.7,10.2,SABE
2019-09-16,20.0,12.3,SABE
2019-09-15,19.0,13.4,SABE
2019-09-14,18.0,12.2,SABE
2019-09-13,15.7,10.7,SABE
2019-09-12,15.8,8.4,SABE
2019-09-11,15.5,11.0,SABE
2019-09-10,16.2,11.3,SABE
2019-09-09,14.3,12.2,SABE
2019-09-08,16.7,11.8,SABE
2019-09-07,18.9,12.3,SABE
2019-09-06,14.8,8.8,SABE
2019-09-05,11.0,7.3,SABE
2019-09-04,12.6,4.8,SABE
2019-09-03,13.5,4.0,SABE
2019-09-02,16.5,7.6,SABE
2019-09-01,15.0,7.3,SABE
2019-08-31,19.6,10.0,SABE
2019-08-30,17.0,12.8,SABE
2019-08-29,22.7,16.3,SABE
2019-08-28,22.0,15.6,SABE
2019-08-27,20.5,13.8,SABE
2019-08-26,18.5,13.3,SABE
2019-08-25,15.8,11.9,SABE
2019-08-24,16.5,11.0,SABE
2019-08-23,15.8,7.5,SABE
2019-08-22,13.0,9.4,SABE
2019-08-21,11.3,7.5,SABE
2019-08-20,10.2,6.1,SABE
2019-08-19,8.6,3.8,SABE
2019-08-18,14.3,7.3,SABE
2019-08-17,17.0,11.8,SABE
2019-08-16,17.2,11.2,SABE
2019-08-15,13.5,9.1,SABE
2019-08-14,10.5,2.5,SABE
2019-08-13,10.5,2.6,SABE
2019-08-12,13.5,9.2,SABE
2019-08-11,16.0,7.7,SABE
2019-08-10,16.5,5.6,SABE
2019-08-09,11.4,7.8,SABE
2019-08-08,14.5,10.9,SABE
2019-08-07,16.5,11.0,SABE
2019-08-06,20.4,10.8,SABE
2019-08-05,16.3,8.3,SABE
2019-08-04,16.5,7.3,SABE
2019-08-03,16.3,7.2,SABE
2019-08-02,15.3,7.8,SABE
2019-08-01,18.0,12.3,SABE
2019-07-31,20.0,10.8,SABE
2019-07-30,15.4,9.0,SABE
2019-07-29,14.0,11.2,SABE
2019-07-28,14.8,9.2,SABE
2019-07-27,14.5,8.3,SABE
2019-07-26,14.2,10.6,SABE
2019-07-25,12.9,9.1,SABE
2019-07-24,13.5,7.3,SABE
2019-07-23,12.9,9.5,SABE
2019-07-22,15.6,10.4,SABE
2019-07-21,26.0,13.6,SABE
